State House District,Number of Voters
47,156691
73,147246
122,146370
70,142028
49,140238
106,138868
33,137006
28,135732
45,133972
48,133812
134,132425
61,131072
44,130932
63,129716
130,129692
98,129554
150,126628
20,125780
136,125546
108,125186
121,123905
29,123480
15,123454
132,122855
89,122411
19,121099
24,119883
127,119874
50,119339
52,118819
23,118741
67,116390
60,115501
53,115373
10,115221
129,114367
96,114032
64,113834
4,113550
13,113491
2,113466
133,112995
109,112859
66,111604
21,111281
83,110965
99,110830
16,110806
54,110630
27,110574
9,110560
147,110047
97,109804
3,108700
26,108449
93,108113
58,108110
30,107095
86,106950
65,106938
120,106674
123,106141
117,105897
94,105714
1,105357
32,104995
92,104200
85,104124
62,103988
126,103623
51,103528
135,103302
128,103296
114,103145
124,102991
31,102968
25,102373
43,101527
125,101422
56,100851
111,100767
118,100171
6,100042
69,99968
17,99959
78,99910
116,99901
46,99808
5,99709
57,99555
68,99272
139,98830
91,98734
82,98458
72,97870
71,97738
113,97356
34,97038
115,96661
7,96549
81,95454
55,95161
12,94786
74,94728
112,94618
75,94068
84,93714
11,93539
119,93463
18,93462
59,93349
107,93114
102,92904
8,91013
95,90540
146,89788
22,89518
80,89193
138,88801
42,88680
79,88466
88,88384
131,87616
38,87170
142,87168
101,86969
100,86643
149,86002
148,85585
76,85565
105,85310
41,85203
87,84050
14,83122
37,81757
77,81583
141,81227
36,80391
110,78288
39,77635
35,75971
40,74112
103,72754
145,70990
104,69179
143,68174
140,62446
144,60597
90,58843
137,54910
-1,6341
